+------------------------------------------------------------+----------------------------------+-------------+------------+-------------------------------------------------------------------------+
| Title                                                      | Artist                           | Votes Added | New Rating |                                                          New Votes List |
| Nobody Loves Me                                            | Limp Bizkit                      |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Stinkfinger                                                | Limp Bizkit                      |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Great Big White World                                      | Mar1lyn Man5on                   |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| The Dope Show                                              | Mar1lyn Man5on                   |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Disassociative                                             | Mar1lyn Man5on                   |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Lovey Dovey                                                | Local H                          |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| I Saw What You Did And I Know Who You Are                  | Local H                          |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Ísland                                                     | Mastodon                         |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Hearts Alive                                               | Mastodon                         |     7;8;8;8 |        7.8 |                         7;8;8;8;7;8;8;8;7;8;8;8;7;8;8;8;7;8;8;8;7;8;8;8 |
| Shadow                                                     | Nonpoint                         |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Son Of A Gun (Overhauled Mix Edit)                         | KMFDM                            |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Get To The Gone                                            | Static-X                         |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Permanence                                                 | Static-X                         |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Black And White                                            | Static-X                         |       7;8;8 |        7.7 |                                     7;8;8;7;8;8;7;8;8;7;8;8;7;8;8;7;8;8 |
| Lunatic                                                    | Static-X                         |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| Gave Up                                                    | Nine Inch Nails                  |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| TV II                                                      | Ministry                         |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Jackolantern's Weather                                     | 311                              |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Loco                                                       | 311                              |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Deity                                                      | Ministry                         |         7;9 |        8.0 |                                                 7;9;7;9;7;9;7;9;7;9;7;9 |
| Ain't Talking' 'Bout Love                                  | Slick Idiot                      |         7;8 |        7.5 |                                                 7;8;7;8;7;8;7;8;7;8;7;8 |
| NY Boogie                                                  | Slick Idiot                      |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Idiot                                                      | Slick Idiot                      |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Get Down - Give In [Sex Song]                              | Slick Idiot                      |           7 |        7.0 |                                                             7;7;7;7;7;7 |
| Crackerman                                                 | Stone Temple Pilots              |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Galaxy                                                     | 311                              |       8;8;9 |        8.3 |                                           8;8;9;8;8;9;8;8;9;8;8;9;8;8;9 |
| It's A Long Way To The Top (If You Wanna Rock 'n' Roll)    | AC/DC                            |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| Beautiful Psychedelic Chillout Mix                         | Trance Tribal                    |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| Dreamscape                                                 | 009 Sound System                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Shine Down                                                 | 009 Sound System                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Number Two                                                 | 009 Sound System                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Suck It Up                                                 | (hed) Planet Earth               |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Bartender                                                  | (hed) Planet Earth               |           8 |        8.0 |                                                               8;8;8;8;8 |
| Shoot To Thrill                                            | AC/DC                            |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| Given The Dog A Bone                                       | AC/DC                            |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| Shake A Leg                                                | AC/DC                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Cover You In Oil                                           | AC/DC                            |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| Burnin' Alive                                              | AC/DC                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Cherokee Boogie                                            | BR549                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Passenger  (ft. Maynard Keenan)                            | Deftones                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| The Last One Alive                                         | Demon Hunter                     |           8 |        8.0 |                                                               8;8;8;8;8 |
| Stupify                                                    | Disturbed                        |           8 |        8.0 |                                                               8;8;8;8;8 |
| One Thing                                                  | Finger Eleven                    |           8 |        8.0 |                                                               8;8;8;8;8 |
| Professional Killer                                        | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Edge Of A Revolution                                       | Nickelback                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| Alter Mann                                                 | Rammstein                        |           8 |        8.0 |                                                               8;8;8;8;8 |
| Wings For Marie (Pt 1)                                     | Tool                             |      8;9;10 |        9.0 |                                      8;9;10;8;9;10;8;9;10;8;9;10;8;9;10 |
| 10,000 Days (Wings Pt 2)                                   | Tool                             |      8;9;10 |        9.0 |                                      8;9;10;8;9;10;8;9;10;8;9;10;8;9;10 |
| Rosetta Stoned                                             | Tool                             |           8 |        8.0 |                                                               8;8;8;8;8 |
| Eon Blue Apocalypse                                        | Tool                             |        8;10 |        9.0 |                                                8;10;8;10;8;10;8;10;8;10 |
| Land Of Confusion                                          | Disturbed                        |           8 |        8.0 |                                                               8;8;8;8;8 |
| Freedom Of Choice                                          | A Perfect Circle                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Fiddle And The Drum                                        | A Perfect Circle                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Check                                                      | Young Thug                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| The Outsider                                               | A Perfect Circle                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Here I Am                                                  | The Explosion                    |           8 |        8.0 |                                                               8;8;8;8;8 |
| Move Along                                                 | The All-American Rejects         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Free Ride                                                  | Edgar Winter                     |           8 |        8.0 |                                                               8;8;8;8;8 |
| Simple Man                                                 | Lynyrd Skynyrd                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| White Knuckle Ride                                         | Lynyrd Skynyrd                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| Comedown                                                   | Bush                             |           8 |        8.0 |                                                               8;8;8;8;8 |
| Lonely Is The Night                                        | Billy Squier                     |           8 |        8.0 |                                                               8;8;8;8;8 |
| Only Happy When It Rains                                   | Garbage                          |           8 |        8.0 |                                                               8;8;8;8;8 |
| American Woman                                             | The Guess Who                    |           8 |        8.0 |                                                               8;8;8;8;8 |
| Uprising                                                   | Muse                             |           8 |        8.0 |                                                               8;8;8;8;8 |
| Resistance                                                 | Muse                             |           8 |        8.0 |                                                               8;8;8;8;8 |
| The Mountain                                               | Three Days Grace                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Right Left Wrong                                           | Three Days Grace                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Getting Away With Murder                                   | Papa Roach                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| China Grove                                                | The Doobie Brothers              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Without You                                                | The Doobie Brothers              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Doesn't Remind Me                                          | Audioslave                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| Thread                                                     | Flyleaf                          |           8 |        8.0 |                                                               8;8;8;8;8 |
| Whore                                                      | In This Moment                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| Disobedience                                               | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Cure For The Itch                                          | Linkin Park                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Figure.09                                                  | Linkin Park                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Nobody's Listening                                         | Linkin Park                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| How You Remind Me                                          | Nickelback                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| Too Bad                                                    | Nickelback                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| Where Do I Hide                                            | Nickelback                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| Pinion                                                     | Nine Inch Nails                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| Somewhat Damaged                                           | Nine Inch Nails                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| Into The Void                                              | Nine Inch Nails                  |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Complication                                               | Nine Inch Nails                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| The Big Come Down                                          | Nine Inch Nails                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| Discipline                                                 | Nine Inch Nails                  |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Miscellanea                                                | 10 Years                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Die Trying                                                 | Art Of Dying                     |           8 |        8.0 |                                                               8;8;8;8;8 |
| Risk It All                                                | Escape The Fate                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| One For The Money                                          | Escape The Fate                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| Die & Rise                                                 | Lacuna Coil                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Mirror People                                              | Love And Rockets                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Lose My Life                                               | Papercut Massacre                |           8 |        8.0 |                                                               8;8;8;8;8 |
| Come Original                                              | 311                              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Cuts You Up                                                | Static X                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Reptile                                                    | Static X                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Team Hate                                                  | Static X                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Eidetic                                                    | ASC                              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Terra Nova                                                 | Essential Trip                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| Courtesy Call                                              | Thousand Foot Krutch             |           8 |        8.0 |                                                               8;8;8;8;8 |
| Trip Like I Do                                             | The Crystal Method               |           8 |        8.0 |                                                               8;8;8;8;8 |
| High Roller                                                | The Crystal Method               |           8 |        8.0 |                                                               8;8;8;8;8 |
| One Of Us Is The Killer                                    | The Dillinger Escape Plan        |           8 |        8.0 |                                                               8;8;8;8;8 |
| Take Out The Gunman                                        | Chevelle                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| I Am One                                                   | Smashing Pumpkins                |           8 |        8.0 |                                                               8;8;8;8;8 |
| Control                                                    | Puddle Of Mudd                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| Out Of My Head                                             | Puddle Of Mudd                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| Nobody Told Me                                             | Puddle Of Mudd                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| P*** It All Away                                           | Puddle Of Mudd                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| Fly Away                                                   | Lenny Kravitz                    |           8 |        8.0 |                                                               8;8;8;8;8 |
| My Generation                                              | Limp Bizkit                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Crawling                                                   | Linkin Park                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Runaway                                                    | Linkin Park                      |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Hands Held High                                            | Linkin Park                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Down In A Hole                                             | Alice In Chains                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| Them Bones                                                 | Alice In Chains                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| Celestial Tendencies                                       | Asura                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Life²                                                      | Asura                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Butterfly FX                                               | Asura                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| La Chanson De Carla                                        | Asura                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Leave Home                                                 | The Chemical Brothers            |           8 |        8.0 |                                                               8;8;8;8;8 |
| In Dust We Trust                                           | The Chemical Brothers            |      8;9;10 |        9.0 |                                      8;9;10;8;9;10;8;9;10;8;9;10;8;9;10 |
| Three Little Birdies Down Beats                            | The Chemical Brothers            |       8;9;9 |        8.7 |                                           8;9;9;8;9;9;8;9;9;8;9;9;8;9;9 |
| Chemical Beats                                             | The Chemical Brothers            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| One Too Many Mornings                                      | The Chemical Brothers            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Setting Sun                                                | The Chemical Brothers            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Lost In The K-Hole                                         | The Chemical Brothers            |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| The American Way                                           | The Crystal Method               |           8 |        8.0 |                                                               8;8;8;8;8 |
| I Know It's You                                            | The Crystal Method               |           8 |        8.0 |                                                               8;8;8;8;8 |
| Realizer                                                   | The Crystal Method               |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Weapons Of Mass Distortion                                 | The Crystal Method               |           8 |        8.0 |                                                               8;8;8;8;8 |
| Rules                                                      | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Inane                                                      | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Blame                                                      | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Ikons                                                      | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Jeremy                                                     | Pearl Jam                        |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Plug In Baby                                               | Muse                             |       8;9;9 |        8.7 |                                           8;9;9;8;9;9;8;9;9;8;9;9;8;9;9 |
| Dig                                                        | Mudvayne                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Give It                                                    | Helmet                           |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| Unsung                                                     | Helmet                           |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| Transistor Intro                                           | 311                              |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Transistor                                                 | 311                              |       8;9;9 |        8.7 |                                           8;9;9;8;9;9;8;9;9;8;9;9;8;9;9 |
| Go                                                         | The Chemical Brothers            |           8 |        8.0 |                                                               8;8;8;8;8 |
| EML Ritual                                                 | The Chemical Brothers            |  8;8;9;9;10 |        8.8 |                  8;8;9;9;10;8;8;9;9;10;8;8;9;9;10;8;8;9;9;10;8;8;9;9;10 |
| Just Bang                                                  | The Chemical Brothers            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Taste Of Honey                                             | The Chemical Brothers            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Stoner Hate                                                | Scars On Broadway                |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Chemicals                                                  | Scars On Broadway                |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Enemy                                                      | Scars On Broadway                |           8 |        8.0 |                                                               8;8;8;8;8 |
| Sea Groove                                                 | Nickelback                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| Falls Back On                                              | Nickelback                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| You Know What You Are?                                     | Nine Inch Nails                  |        8;10 |        9.0 |                                                8;10;8;10;8;10;8;10;8;10 |
| My Friends                                                 | Red Hot Chili Peppers            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Hell & Consequences                                        | Stone Sour                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| sillyworld                                                 | Stone Sour                       |           8 |        8.0 |                                                               8;8;8;8;8 |
| Второй                                                     | SARS                             |           8 |        8.0 |                                                               8;8;8;8;8 |
| EmpTe                                                      | Skinny Puppy                     |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Zwitter                                                    | Rammstein                        |           8 |        8.0 |                                                               8;8;8;8;8 |
| Adios                                                      | Rammstein                        |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Ghostman                                                   | Skinny Puppy                     |           8 |        8.0 |                                                               8;8;8;8;8 |
| Past Present                                               | Skinny Puppy                     |        8;10 |        9.0 |                                                8;10;8;10;8;10;8;10;8;10 |
| Control                                                    | Stabbing Westward                |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Lies                                                       | Stabbing Westward                |      8;9;10 |        9.0 |                                      8;9;10;8;9;10;8;9;10;8;9;10;8;9;10 |
| Rebel Radio                                                | Prodigy                          |           8 |        8.0 |                                                               8;8;8;8;8 |
| Destroy                                                    | Prodigy                          |           8 |        8.0 |                                                               8;8;8;8;8 |
| Wild Frontier                                              | Prodigy                          |           8 |        8.0 |                                                               8;8;8;8;8 |
| Rok-Weiler                                                 | Prodigy                          |           8 |        8.0 |                                                               8;8;8;8;8 |
| Stoke The Fire                                             | Seether                          |           8 |        8.0 |                                                               8;8;8;8;8 |
| Let You Down                                               | Seether                          |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Figured You Out                                            | Nickelback                       |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Natural Life                                               | Breaking Benjamin                |           8 |        8.0 |                                                               8;8;8;8;8 |
| Home                                                       | Breaking Benjamin                |           8 |        8.0 |                                                               8;8;8;8;8 |
| Ungod                                                      | Stabbing Westward                |           8 |        8.0 |                                                               8;8;8;8;8 |
| !@#$ The &*?=!                                             | 311                              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Unity                                                      | 311                              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Tongue                                                     | Butthole Surfers                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Some Dispute Over T-Shirt Sales                            | Butthole Surfers                 |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Dust Devil                                                 | Butthole Surfers                 |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Leave Me Alone                                             | Butthole Surfers                 |           8 |        8.0 |                                                               8;8;8;8;8 |
| Edgar                                                      | Butthole Surfers                 |       8;8;9 |        8.3 |                                           8;8;9;8;8;9;8;8;9;8;8;9;8;8;9 |
| M.O.R.                                                     | Blur                             |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Death Of A Party                                           | Blur                             |           8 |        8.0 |                                                               8;8;8;8;8 |
| I'm Just A Killer For Your Love                            | Blur                             |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Timebomb                                                   | Bad Seed Rising                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| King Kong                                                  | Bad Seed Rising                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| Have It All                                                | Foo Fighters                     |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Disenchanted Lullaby                                       | Foo Fighters                     |        8;10 |        9.0 |                                                8;10;8;10;8;10;8;10;8;10 |
| Halo                                                       | Foo Fighters                     |           8 |        8.0 |                                                               8;8;8;8;8 |
| Come Back                                                  | Foo Fighters                     |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Drinkin With Jesus                                         | Fozzy                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Weight Of My World                                         | Fozzy                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Burn Me Out                                                | Fozzy                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Three Days In Jail                                         | Fozzy                            |      8;9;10 |        9.0 |                                      8;9;10;8;9;10;8;9;10;8;9;10;8;9;10 |
| Not My Idea                                                | Garbage                          |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| A Stroke Of Luck                                           | Garbage                          |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Stupid Girl                                                | Garbage                          |       8;9;9 |        8.7 |                                           8;9;9;8;9;9;8;9;9;8;9;9;8;9;9 |
| Music: Response                                            | The Chemical Brothers            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Under The Influence                                        | The Chemical Brothers            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Out Of Control                                             | The Chemical Brothers            |           8 |        8.0 |                                                               8;8;8;8;8 |
| The Shame Of Life                                          | Butthole Surfers                 |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Hell Yeah                                                  | KMFDM                            | 8;9;9;10;10 |        9.2 |             8;9;9;10;10;8;9;9;10;10;8;9;9;10;10;8;9;9;10;10;8;9;9;10;10 |
| Rip The System V. 2.0                                      | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Fake News                                                  | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Only Lovers                                                | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Glam, Glitz, Guts & Gore                                   | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| K-M-F                                                      | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| No Regret                                                  | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Shake The Cage                                             | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Respekt                                                    | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Our Time Will Come                                         | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Get The Tongue Wet                                         | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Brainwashed                                                | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Playing God                                                | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Piggy                                                      | KMFDM                            |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Disturb The Peace                                          | KMFDM                            |       8;9;9 |        8.7 |                                           8;9;9;8;9;9;8;9;9;8;9;9;8;9;9 |
| No God                                                     | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Mechanical Animals                                         | Mar1lyn Man5on                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| Rock Is Dead                                               | Mar1lyn Man5on                   |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Posthuman                                                  | Mar1lyn Man5on                   |           8 |        8.0 |                                                               8;8;8;8;8 |
| Nothing Special                                            | Local H                          |           8 |        8.0 |                                                               8;8;8;8;8 |
| Blood And Thunder                                          | Mastodon                         |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| I Am Ahab                                                  | Mastodon                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Seabeast                                                   | Mastodon                         |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Aqua Dementia                                              | Mastodon                         |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Sweat Of The Bud                                           | Static-X                         |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Wisconsin Death Trip                                       | Static-X                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| December                                                   | Static-X                         |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Tohuvabohu (Edit)                                          | KMFDM                            |           8 |        8.0 |                                                               8;8;8;8;8 |
| Structural Defect                                          | Static-X                         |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Burn To Burn                                               | Static-X                         |       8;8;9 |        8.3 |                                           8;8;9;8;8;9;8;8;9;8;8;9;8;8;9 |
| A Dios Alma Perdida                                        | Static-X                         |         8;8 |        8.0 |                                                     8;8;8;8;8;8;8;8;8;8 |
| The Mark Has Been Made                                     | Nine Inch Nails                  |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Wish                                                       | Nine Inch Nails                  |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Jesus Built My Hotrod                                      | Ministry                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| The Line Begins To Blur                                    | Nine Inch Nails                  |           8 |        8.0 |                                                               8;8;8;8;8 |
| Hero                                                       | Ministry                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Random                                                     | 311                              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Guns (Are For Pussies)                                     | 311                              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Purpose                                                    | 311                              |           8 |        8.0 |                                                               8;8;8;8;8 |
| Destruction                                                | Ministry                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Hizbollah                                                  | Ministry                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Flashback                                                  | Ministry                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Abortive                                                   | Ministry                         |           8 |        8.0 |                                                               8;8;8;8;8 |
| Pulse                                                      | Slick Idiot                      |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Get Laid                                                   | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Halb Und Halb                                              | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Hallelujah                                                 | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Immer Wieder                                               | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| It Won´t Do                                                | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Lazy                                                       | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Forgive Me                                                 | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| I Feel Fine                                                | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Xcess (Remixed By Schneider Of  Rammstein)                 | Slick Idiot                      |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| I.I.W.I.I.                                                 | Slick Idiot                      |         8;9 |        8.5 |                                                     8;9;8;9;8;9;8;9;8;9 |
| Daydreams                                                  | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Everyone's A Winner                                        | Slick Idiot                      |           8 |        8.0 |                                                               8;8;8;8;8 |
| Prisoner                                                   | 311                              |    9;9;9;10 |        9.2 |                            9;9;9;10;9;9;9;10;9;9;9;10;9;9;9;10;9;9;9;10 |
| Have A Drink On Me                                         | AC/DC                            |  9;10;10;10 |        9.8 |                  9;10;10;10;9;10;10;10;9;10;10;10;9;10;10;10;9;10;10;10 |
| You Shook Me All Night Long                                | AC/DC                            |   9;9;10;10 |        9.5 |                       9;9;10;10;9;9;10;10;9;9;10;10;9;9;10;10;9;9;10;10 |
| Blackout                                                   | (hed) Planet Earth               |        9;10 |        9.5 |                                                9;10;9;10;9;10;9;10;9;10 |
